"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","29-Mar-2016","        669.60","        670.05","        682.00","        668.95","        672.15","        671.50","        674.29","    1966330","          1325875539.15","      39305","    1082449","         55.05"
"KOTAKBANK","EQ","30-Mar-2016","        671.50","        675.05","        686.50","        665.50","        684.60","        683.85","        677.12","    2827418","          1914498180.10","      92647","    1905894","         67.41"
"KOTAKBANK","EQ","31-Mar-2016","        683.85","        677.10","        694.90","        677.10","        682.95","        680.65","        683.49","    3982132","          2721739261.45","      74415","    2646068","         66.45"
"KOTAKBANK","EQ","01-Apr-2016","        680.65","        682.00","        686.65","        677.15","        678.10","        679.90","        680.69","    1470326","          1000838149.25","      59174","     774308","         52.66"
"KOTAKBANK","EQ","04-Apr-2016","        679.90","        681.50","        689.30","        674.25","        685.30","        687.30","        680.84","    2059957","          1402507904.70","      52460","    1388551","         67.41"
"KOTAKBANK","EQ","05-Apr-2016","        687.30","        684.00","        684.75","        664.75","        665.50","        668.75","        674.27","    2892523","          1950342657.80","      51208","    1902538","         65.77"
"KOTAKBANK","EQ","06-Apr-2016","        668.75","        669.00","        674.30","        664.30","        668.40","        668.00","        669.30","    1683758","          1126935130.25","      74449","    1083886","         64.37"
"KOTAKBANK","EQ","07-Apr-2016","        668.00","        667.00","        668.00","        655.50","        663.85","        662.50","        662.70","    1619424","          1073197836.05","      69714","     936678","         57.84"
"KOTAKBANK","EQ","08-Apr-2016","        662.50","        658.10","        670.40","        658.10","        665.10","        665.35","        665.57","    1007741","           670726939.45","      27284","     625166","         62.04"
"KOTAKBANK","EQ","11-Apr-2016","        665.35","        670.90","        674.95","        660.30","        669.85","        671.30","        667.55","    1990818","          1328970565.20","      42521","    1230445","         61.81"
"KOTAKBANK","EQ","12-Apr-2016","        671.30","        669.85","        682.05","        669.75","        682.00","        677.35","        676.66","    1185688","           802309328.25","      27167","     763606","         64.40"
"KOTAKBANK","EQ","13-Apr-2016","        677.35","        687.00","        699.95","        683.20","        690.65","        692.35","        692.81","    2437798","          1688936520.60","      49904","    1702339","         69.83"
"KOTAKBANK","EQ","18-Apr-2016","        692.35","        691.10","        691.10","        657.70","        683.00","        683.35","        681.49","    1638201","          1116413372.05","      50623","     851676","         51.99"
"KOTAKBANK","EQ","20-Apr-2016","        683.35","        687.40","        692.00","        680.20","        685.60","        687.15","        686.71","    1087651","           746905495.00","      39154","     665477","         61.18"
"KOTAKBANK","EQ","21-Apr-2016","        687.15","        689.00","        689.60","        683.15","        685.55","        686.70","        686.04","    2137424","          1466350325.30","      41638","    1509768","         70.63"
"KOTAKBANK","EQ","22-Apr-2016","        686.70","        680.05","        683.75","        672.95","        678.40","        676.10","        678.81","    1975006","          1340648128.05","      37058","    1492372","         75.56"
"KOTAKBANK","EQ","25-Apr-2016","        676.10","        671.10","        682.85","        671.10","        682.50","        680.45","        678.53","    1211689","           822169688.20","      26929","     833539","         68.79"
"KOTAKBANK","EQ","26-Apr-2016","        680.45","        679.95","        705.00","        678.85","        704.10","        700.85","        692.68","    2108459","          1460480325.80","      36778","    1347560","         63.91"
"KOTAKBANK","EQ","27-Apr-2016","        700.85","        702.40","        719.80","        701.00","        711.45","        712.50","        712.52","    1929112","          1374539943.45","      66441","    1112804","         57.68"
"KOTAKBANK","EQ","28-Apr-2016","        712.50","        715.00","        718.40","        698.50","        701.10","        701.45","        705.98","    1515244","          1069735747.40","      39303","     957955","         63.22"
"KOTAKBANK","EQ","29-Apr-2016","        701.45","        699.00","        719.35","        695.50","        715.85","        717.15","        711.13","    1490141","          1059682696.65","      33445","     795715","         53.40"
"KOTAKBANK","EQ","02-May-2016","        717.15","        714.20","        724.75","        712.10","        717.10","        718.20","        719.45","    1296560","           932808387.45","      25756","     697180","         53.77"
"KOTAKBANK","EQ","03-May-2016","        718.20","        719.00","        722.95","        699.00","        708.10","        707.45","        709.20","    1358193","           963232958.70","      36880","     676379","         49.80"
"KOTAKBANK","EQ","04-May-2016","        707.45","        706.05","        720.60","        704.80","        711.00","        712.65","        716.02","    2111368","          1511782755.80","      48736","    1457516","         69.03"
"KOTAKBANK","EQ","05-May-2016","        712.65","        713.90","        715.25","        704.05","        710.45","        709.15","        708.64","     975973","           691613792.55","      28322","     584071","         59.84"
"KOTAKBANK","EQ","06-May-2016","        709.15","        706.05","        710.00","        696.10","        703.45","        702.95","        701.34","     667263","           467981463.45","      22257","     324748","         48.67"
"KOTAKBANK","EQ","09-May-2016","        702.95","        703.00","        716.00","        702.90","        714.00","        713.85","        712.75","    1885335","          1343769265.35","      58420","    1292287","         68.54"
"KOTAKBANK","EQ","10-May-2016","        713.85","        717.75","        730.00","        711.40","        730.00","        722.85","        717.01","    1576803","          1130585612.25","      36417","     984522","         62.44"
"KOTAKBANK","EQ","11-May-2016","        722.85","        717.80","        737.00","        714.00","        730.40","        731.55","        730.08","    4117417","          3006054807.85","      92446","    1601722","         38.90"
"KOTAKBANK","EQ","12-May-2016","        731.55","        735.70","        743.75","        721.00","        726.60","        726.75","        734.10","    2785763","          2045032053.65","      65184","    1435747","         51.54"
"KOTAKBANK","EQ","13-May-2016","        726.75","        727.00","        728.90","        707.00","        708.50","        708.25","        714.81","    1429506","          1021818544.30","      51502","     799993","         55.96"
"KOTAKBANK","EQ","16-May-2016","        708.25","        708.10","        720.00","        703.00","        716.50","        718.25","        712.05","    2438969","          1736660606.45","      56985","    1553045","         63.68"
"KOTAKBANK","EQ","17-May-2016","        718.25","        719.00","        725.00","        708.00","        708.05","        708.90","        716.45","    2471677","          1770837719.25","      53755","    1674510","         67.75"
"KOTAKBANK","EQ","18-May-2016","        708.90","        708.00","        713.65","        700.25","        710.00","        708.90","        706.38","    1147912","           810861165.95","      39376","     583168","         50.80"
"KOTAKBANK","EQ","19-May-2016","        708.90","        708.25","        710.50","        701.65","        706.00","        706.05","        706.99","     964151","           681643648.65","      32489","     466655","         48.40"
"KOTAKBANK","EQ","20-May-2016","        706.05","        709.90","        710.70","        700.25","        701.50","        702.15","        705.58","     600500","           423699536.75","      27847","     199166","         33.17"
"KOTAKBANK","EQ","23-May-2016","        702.15","        706.00","        710.65","        701.00","        701.00","        703.15","        705.54","    1437987","          1014551794.05","      53362","     971028","         67.53"
"KOTAKBANK","EQ","24-May-2016","        703.15","        702.90","        702.95","        692.50","        698.05","        698.40","        697.14","    2068972","          1442353324.85","      45371","    1598504","         77.26"
"KOTAKBANK","EQ","25-May-2016","        698.40","        704.00","        715.50","        700.50","        714.85","        712.75","        710.50","    2907812","          2065987698.10","      65454","    2110594","         72.58"
"KOTAKBANK","EQ","26-May-2016","        712.75","        716.10","        739.00","        714.35","        734.00","        730.20","        723.92","    1936113","          1401591554.80","      40119","    1259224","         65.04"
"KOTAKBANK","EQ","27-May-2016","        730.20","        734.40","        744.65","        733.10","        738.10","        742.55","        738.55","    1293521","           955332114.35","      27224","     712640","         55.09"
"KOTAKBANK","EQ","30-May-2016","        742.55","        748.70","        754.50","        740.05","        741.00","        742.60","        745.71","     729005","           543627334.85","      23368","     323152","         44.33"
"KOTAKBANK","EQ","31-May-2016","        742.60","        743.30","        750.00","        739.50","        744.65","        746.55","        744.99","    1167685","           869913082.20","      22934","     719243","         61.60"
"KOTAKBANK","EQ","01-Jun-2016","        746.55","        749.75","        749.75","        740.40","        749.00","        745.35","        743.22","     918251","           682464783.85","      44881","     545237","         59.38"
"KOTAKBANK","EQ","02-Jun-2016","        745.35","        749.00","        750.00","        736.40","        745.95","        746.30","        742.62","    1605981","          1192633481.35","      45991","     916820","         57.09"
"KOTAKBANK","EQ","03-Jun-2016","        746.30","        750.00","        772.45","        743.10","        769.00","        769.30","        762.71","    2480775","          1892111810.10","      46213","    1573014","         63.41"
"KOTAKBANK","EQ","06-Jun-2016","        769.30","        770.10","        775.00","        762.55","        764.60","        765.25","        767.59","    1157650","           888599801.85","      31442","     694299","         59.97"
"KOTAKBANK","EQ","07-Jun-2016","        765.25","        770.00","        778.85","        760.85","        769.15","        772.05","        772.20","    1857761","          1434556231.05","      51109","    1239973","         66.75"
"KOTAKBANK","EQ","08-Jun-2016","        772.05","        768.10","        770.00","        755.00","        759.40","        759.35","        759.23","    1227612","           932034782.30","      30725","     743169","         60.54"
"KOTAKBANK","EQ","09-Jun-2016","        759.35","        761.90","        761.90","        750.10","        754.30","        752.75","        753.99","    1301396","           981243376.95","      42354","     844032","         64.86"
"KOTAKBANK","EQ","10-Jun-2016","        752.75","        751.10","        757.50","        743.35","        750.00","        750.70","        750.56","    1510634","          1133822572.15","      49062","     980274","         64.89"
"KOTAKBANK","EQ","13-Jun-2016","        750.70","        746.00","        757.45","        745.00","        753.10","        755.90","        749.93","    1629842","          1222262501.10","      32062","    1135991","         69.70"
"KOTAKBANK","EQ","14-Jun-2016","        755.90","        758.50","        758.50","        749.30","        752.25","        752.10","        752.49","     663569","           499331898.40","      16253","     331405","         49.94"
"KOTAKBANK","EQ","15-Jun-2016","        752.10","        757.00","        768.10","        753.00","        765.35","        765.55","        759.32","     887211","           673681306.85","      18831","     549969","         61.99"
"KOTAKBANK","EQ","16-Jun-2016","        765.55","        765.90","        765.90","        746.35","        752.80","        754.45","        753.36","    1079000","           812872004.90","      25516","     598938","         55.51"
"KOTAKBANK","EQ","17-Jun-2016","        754.45","        756.00","        760.85","        748.75","        749.15","        751.10","        752.22","     814258","           612504297.40","      37162","     502926","         61.76"
"KOTAKBANK","EQ","20-Jun-2016","        751.10","        741.80","        756.80","        740.00","        749.25","        751.95","        752.04","     894007","           672327560.20","      29539","     523956","         58.61"
"KOTAKBANK","EQ","21-Jun-2016","        751.95","        750.10","        753.55","        742.80","        744.60","        746.75","        747.46","     702853","           525354959.40","      19432","     434906","         61.88"
"KOTAKBANK","EQ","22-Jun-2016","        746.75","        747.00","        750.95","        733.40","        738.60","        739.35","        745.62","    2686930","          2003422028.55","      59519","    2347634","         87.37"
"KOTAKBANK","EQ","23-Jun-2016","        739.35","        741.00","        750.10","        738.15","        747.05","        747.25","        742.30","     987665","           733140380.50","      33470","     612079","         61.97"
"KOTAKBANK","EQ","24-Jun-2016","        747.25","        730.00","        738.05","        710.75","        732.20","        733.90","        723.39","    2002188","          1448361908.50","      56647","    1191020","         59.49"
"KOTAKBANK","EQ","27-Jun-2016","        733.90","        723.05","        744.60","        723.05","        738.65","        739.40","        737.80","     774869","           571697924.05","      22049","     342652","         44.22"
"KOTAKBANK","EQ","28-Jun-2016","        739.40","        738.40","        747.80","        737.70","        740.00","        743.30","        743.09","     761264","           565687556.05","      38787","     453407","         59.56"
"KOTAKBANK","EQ","29-Jun-2016","        743.30","        745.00","        754.00","        742.65","        750.95","        752.80","        750.21","    1477280","          1108272799.30","      68975","    1075630","         72.81"
"KOTAKBANK","EQ","30-Jun-2016","        752.80","        759.90","        766.55","        754.25","        761.45","        763.35","        760.91","    3334365","          2537162908.80","     108836","    2300759","         69.00"
"KOTAKBANK","EQ","01-Jul-2016","        763.35","        764.00","        766.00","        750.90","        752.50","        753.40","        756.51","    1565210","          1184102694.20","      59519","    1076580","         68.78"
"KOTAKBANK","EQ","04-Jul-2016","        753.40","        755.50","        756.25","        741.20","        742.90","        743.95","        746.67","    1172694","           875620206.70","      28285","     749717","         63.93"
"KOTAKBANK","EQ","05-Jul-2016","        743.95","        744.45","        747.40","        738.40","        740.00","        740.40","        743.38","    1125300","           836522956.30","      16670","     732806","         65.12"
"KOTAKBANK","EQ","07-Jul-2016","        740.40","        741.00","        751.50","        739.15","        745.00","        745.90","        744.81","     963213","           717406310.80","      39307","     515161","         53.48"
"KOTAKBANK","EQ","08-Jul-2016","        745.90","        745.10","        747.70","        737.60","        742.00","        743.45","        743.33","     604463","           449312598.55","      31635","     329974","         54.59"
"KOTAKBANK","EQ","11-Jul-2016","        743.45","        750.95","        763.00","        747.10","        761.50","        760.55","        755.86","    1871614","          1414685310.65","      55341","    1485544","         79.37"
"KOTAKBANK","EQ","12-Jul-2016","        760.55","        765.00","        766.75","        757.95","        762.05","        763.65","        762.29","    1541569","          1175127821.05","      51261","     768466","         49.85"
"KOTAKBANK","EQ","13-Jul-2016","        763.65","        763.45","        776.75","        760.45","        775.30","        775.00","        771.17","    2018597","          1556677553.90","      42505","    1297149","         64.26"
"KOTAKBANK","EQ","14-Jul-2016","        775.00","        779.00","        784.00","        774.40","        775.75","        780.20","        780.57","    1555879","          1214473900.95","      46435","     987134","         63.45"
"KOTAKBANK","EQ","15-Jul-2016","        780.20","        779.00","        781.00","        767.65","        771.55","        772.15","        773.40","    2059278","          1592650093.05","      81730","    1620877","         78.71"
"KOTAKBANK","EQ","18-Jul-2016","        772.15","        775.00","        782.85","        769.35","        780.00","        776.80","        776.43","    2358938","          1831541586.10","      63943","    1579479","         66.96"
"KOTAKBANK","EQ","19-Jul-2016","        776.80","        779.50","        781.45","        769.40","        777.80","        777.80","        776.39","    1608870","          1249108996.75","      37136","    1085611","         67.48"
"KOTAKBANK","EQ","20-Jul-2016","        777.80","        778.00","        784.35","        778.00","        781.90","        782.20","        781.65","    1316948","          1029386956.05","      39061","     966468","         73.39"
"KOTAKBANK","EQ","21-Jul-2016","        782.20","        786.50","        787.50","        759.00","        760.50","        760.65","        771.48","    3849134","          2969539318.85","      72994","    1580325","         41.06"
"KOTAKBANK","EQ","22-Jul-2016","        760.65","        762.00","        764.90","        753.25","        759.95","        760.05","        760.68","    1429617","          1087481988.90","      29555","     716007","         50.08"
"KOTAKBANK","EQ","25-Jul-2016","        760.05","        761.95","        773.20","        750.00","        765.10","        764.40","        758.05","    3393118","          2572152734.90","      68512","    2501296","         73.72"
"KOTAKBANK","EQ","26-Jul-2016","        764.40","        765.50","        766.00","        746.35","        753.90","        751.70","        756.74","    1749020","          1323554876.95","      46980","    1266519","         72.41"
"KOTAKBANK","EQ","27-Jul-2016","        751.70","        752.10","        760.00","        745.50","        752.65","        754.00","        753.69","    1076756","           811535013.60","      34312","     690530","         64.13"
"KOTAKBANK","EQ","28-Jul-2016","        754.00","        756.00","        760.05","        745.65","        755.00","        750.35","        750.54","    3435526","          2578482618.45","      55965","    2813642","         81.90"
"KOTAKBANK","EQ","29-Jul-2016","        750.35","        751.50","        766.15","        749.30","        763.00","        763.50","        757.62","    1457598","          1104299621.85","      28804","    1057291","         72.54"
"KOTAKBANK","EQ","01-Aug-2016","        763.50","        766.00","        769.45","        748.00","        756.50","        753.15","        754.79","    1750650","          1321375284.25","      38118","    1238037","         70.72"
"KOTAKBANK","EQ","02-Aug-2016","        753.15","        750.30","        763.00","        749.90","        761.15","        760.10","        754.41","    1495743","          1128400590.45","      31476","    1068813","         71.46"
"KOTAKBANK","EQ","03-Aug-2016","        760.10","        759.00","        764.00","        754.80","        757.45","        756.20","        758.98","    1344312","          1020302309.30","      42905","     944434","         70.25"
"KOTAKBANK","EQ","04-Aug-2016","        756.20","        759.75","        761.30","        751.00","        755.95","        756.40","        756.48","    1249512","           945228309.75","      48954","     892259","         71.41"
"KOTAKBANK","EQ","05-Aug-2016","        756.40","        759.80","        776.00","        756.60","        770.55","        774.35","        766.89","    2365366","          1813964146.85","      40272","    1805551","         76.33"
"KOTAKBANK","EQ","08-Aug-2016","        774.35","        777.00","        781.80","        767.95","        769.05","        771.50","        775.42","    1659840","          1287076444.45","      34548","    1351400","         81.42"
"KOTAKBANK","EQ","09-Aug-2016","        771.50","        772.80","        772.90","        760.10","        765.50","        764.75","        766.51","     877535","           672635242.80","      29193","     508675","         57.97"
"KOTAKBANK","EQ","10-Aug-2016","        764.75","        769.70","        769.70","        758.65","        761.30","        761.25","        763.88","    1093959","           835648959.85","      15036","     744054","         68.01"
"KOTAKBANK","EQ","11-Aug-2016","        761.25","        761.00","        768.95","        759.15","        766.60","        764.65","        764.60","    1006546","           769603149.75","      37581","     644177","         64.00"
"KOTAKBANK","EQ","12-Aug-2016","        764.65","        771.90","        771.90","        760.00","        760.20","        762.90","        766.06","    1128132","           864214430.25","      14772","     761158","         67.47"
"KOTAKBANK","EQ","16-Aug-2016","        762.90","        766.50","        775.90","        762.15","        771.75","        772.80","        770.06","    1826143","          1406231566.55","      31272","    1410806","         77.26"
"KOTAKBANK","EQ","17-Aug-2016","        772.80","        771.00","        771.60","        761.10","        766.00","        765.65","        765.44","     814886","           623743832.90","      27352","     533013","         65.41"
"KOTAKBANK","EQ","18-Aug-2016","        765.65","        766.90","        785.95","        766.85","        784.00","        784.40","        779.89","    1765760","          1377096219.70","      38101","    1115165","         63.15"
"KOTAKBANK","EQ","19-Aug-2016","        784.40","        785.95","        785.95","        774.00","        780.00","        778.75","        779.20","     996170","           776217244.00","      27262","     624047","         62.64"
"KOTAKBANK","EQ","22-Aug-2016","        778.75","        780.00","        782.00","        768.80","        773.90","        772.85","        773.15","     612762","           473759840.75","      24897","     373082","         60.89"
"KOTAKBANK","EQ","23-Aug-2016","        772.85","        773.35","        780.00","        771.05","        779.10","        778.35","        774.83","     572986","           443968431.15","      16348","     373283","         65.15"
"KOTAKBANK","EQ","24-Aug-2016","        778.35","        779.00","        781.90","        772.10","        776.60","        777.00","        776.68","    1141719","           886749674.95","      22836","     843425","         73.87"
"KOTAKBANK","EQ","25-Aug-2016","        777.00","        778.00","        784.00","        772.05","        781.00","        780.75","        777.91","    1477112","          1149061456.55","      20473","     899171","         60.87"
"KOTAKBANK","EQ","26-Aug-2016","        780.75","        782.50","        789.00","        772.85","        781.00","        780.80","        780.54","     853973","           666562406.05","      19467","     410187","         48.03"
"KOTAKBANK","EQ","29-Aug-2016","        780.80","        780.70","        788.90","        775.15","        780.00","        781.40","        783.74","     762039","           597238140.80","      16621","     417641","         54.81"
"KOTAKBANK","EQ","30-Aug-2016","        781.40","        781.90","        787.05","        780.20","        784.60","        786.15","        785.13","     799025","           627334734.95","      17075","     465793","         58.30"
"KOTAKBANK","EQ","31-Aug-2016","        786.15","        795.00","        814.95","        793.15","        809.00","        806.90","        805.82","    3346444","          2696627228.15","      59733","    1745738","         52.17"
"KOTAKBANK","EQ","01-Sep-2016","        806.90","        813.00","        817.45","        807.50","        812.50","        810.70","        811.68","    1161928","           943109769.00","      35156","     634861","         54.64"
"KOTAKBANK","EQ","02-Sep-2016","        810.70","        812.00","        815.75","        808.30","        813.10","        813.60","        812.54","     930759","           756277266.95","      22244","     608985","         65.43"
"KOTAKBANK","EQ","06-Sep-2016","        813.60","        819.90","        822.00","        815.00","        818.75","        818.05","        817.42","    1027879","           840207954.20","      33864","     722776","         70.32"
"KOTAKBANK","EQ","07-Sep-2016","        818.05","        818.85","        823.00","        802.45","        804.75","        804.10","        807.69","    1171053","           945851302.30","      17378","     797175","         68.07"
"KOTAKBANK","EQ","08-Sep-2016","        804.10","        804.75","        822.30","        800.25","        818.00","        819.75","        814.62","    1724362","          1404701470.80","      29935","     980629","         56.87"
"KOTAKBANK","EQ","09-Sep-2016","        819.75","        819.70","        825.40","        808.60","        818.10","        818.85","        817.52","    1144933","           936010390.30","      61244","     632554","         55.25"
"KOTAKBANK","EQ","12-Sep-2016","        818.85","        811.95","        815.00","        805.00","        814.00","        813.30","        810.49","     741529","           601000702.85","      19619","     325344","         43.87"
"KOTAKBANK","EQ","14-Sep-2016","        813.30","        813.90","        820.00","        803.30","        805.80","        805.95","        807.26","    2041155","          1647741705.35","      45021","    1371327","         67.18"
"KOTAKBANK","EQ","15-Sep-2016","        805.95","        806.95","        811.75","        803.30","        808.10","        808.60","        806.92","    1182665","           954315869.35","      22044","     847486","         71.66"
